Amostra;Freq;Set Power;SF;BW;Power;Consumption
16;433;22;12;2;21.67;0.137728
16;470;14;7;0;14.26;0.084943
16;470;14;7;2;14.08;0.078602
16;470;14;12;0;14.27;0.088861
16;470;14;12;2;14.27;0.089122
16;470;22;7;0;21.15;0.137578
16;470;22;7;2;21.04;0.121414
16;470;22;12;0;21.15;0.137556
16;470;22;12;2;21.15;0.137956
16;868;14;7;0;13.56;0.084498
16;868;14;7;2;13.39;0.074983
16;868;14;12;0;13.57;0.084685
16;868;14;12;2;13.58;0.084928
16;868;22;7;0;21.7;0.133562
16;868;22;7;2;21.54;0.117895
16;868;22;12;0;21.7;0.133457
16;868;22;12;2;21.7;0.13388
16;915;14;7;0;12.79;0.0875
16;915;14;7;2;12.69;0.077604
16;915;14;12;0;12.81;0.087709
16;915;14;12;2;12.81;0.087943
16;915;22;7;0;21.99;0.124852
16;915;22;7;2;21.82;0.110301
16;915;22;12;0;21.99;0.124847
16;915;22;12;2;21.99;0.125216
16;923;14;7;0;12.67;0.088203
16;923;14;7;2;12.59;0.078229
16;923;14;12;0;12.69;0.088409
16;923;14;12;2;12.69;0.088658
16;923;22;7;0;21.94;0.123164
16;923;22;7;2;21.84;0.108842
16;923;22;12;0;21.94;0.123134
16;923;22;12;2;21.94;0.123553
17;433;14;7;0;14.2;0.084306
17;433;14;7;2;14.11;0.074746
17;433;14;12;0;14.2;0.084474
17;433;14;12;2;14.2;0.084743
17;433;22;7;0;21.54;0.135125
17;433;22;7;2;21.36;0.119285
17;433;22;12;0;21.52;0.135121
17;433;22;12;2;21.52;0.135537
17;470;14;7;0;14.23;0.087995
17;470;14;7;2;14.15;0.077994
17;470;14;12;0;14.23;0.088159
17;470;14;12;2;14.23;0.088436
17;470;22;7;0;21.03;0.1355
17;470;22;7;2;20.92;0.119636
17;470;22;12;0;21.01;0.135441
17;470;22;12;2;21.01;0.135853
17;868;14;7;0;13.47;0.084069
17;868;14;7;2;13.35;0.074587
17;868;14;12;0;13.48;0.084234
17;868;14;12;2;13.47;0.084495
17;868;22;7;0;21.64;0.132014
17;868;22;7;2;21.5;0.116541
17;868;22;12;0;21.63;0.131996
17;868;22;12;2;21.63;0.132358
17;915;14;7;0;12.73;0.087061
17;915;14;7;2;12.61;0.077202
17;915;14;12;0;12.74;0.087259
17;915;14;12;2;12.73;0.087493
17;915;22;7;0;21.91;0.123892
17;915;22;7;2;21.79;0.109458
17;915;22;12;0;21.9;0.123833
17;915;22;12;2;21.9;0.124304
17;923;14;7;0;12.62;0.087773
17;923;14;7;2;12.53;0.077823
17;923;14;12;0;12.62;0.087955
17;923;14;12;2;12.62;0.088217
17;923;22;7;0;21.86;0.12231
17;923;22;7;2;21.76;0.108088
17;923;22;12;0;21.85;0.122279
17;923;22;12;2;21.85;0.122657
18;433;14;7;0;14.6;0.086173
18;433;14;7;2;14.46;0.076366
18;433;14;12;0;14.6;0.086279
18;433;14;12;2;14.6;0.086573
18;433;22;7;0;21.93;0.13966
18;433;22;7;2;21.82;0.123262
18;433;22;12;0;21.93;0.139672
18;433;22;12;2;21.92;0.140053
18;470;14;7;0;14.66;0.089971
18;470;14;7;2;14.48;0.079699
18;470;14;12;0;14.66;0.090076
18;470;14;12;2;14.65;0.090374
18;470;22;7;0;21.52;0.140922
18;470;22;7;2;21.4;0.124363
18;470;22;12;0;21.52;0.140966
18;470;22;12;2;21.51;0.141281
18;868;14;7;0;13.88;0.087908
18;868;14;7;2;13.72;0.077914
18;868;14;12;0;13.87;0.087987
18;868;14;12;2;13.88;0.088279
18;868;22;7;0;22.04;0.135733
18;868;22;7;2;21.96;0.119789
18;868;22;12;0;22.04;0.13576
18;868;22;12;2;22.04;0.136118
18;915;14;7;0;13.23;0.090582
18;915;14;7;2;13.04;0.080276
18;915;14;12;0;13.22;0.090694
18;915;14;12;2;13.22;0.090981
18;915;22;7;0;22.23;0.129171
18;915;22;7;2;22.13;0.114009
18;915;22;12;0;22.22;0.129078
18;915;22;12;2;22.22;0.129458
18;923;14;7;0;13.13;0.091233
18;923;14;7;2;13.02;0.080816
18;923;14;12;0;13.11;0.091336
18;923;14;12;2;13.12;0.091589
18;923;22;7;0;22.17;0.127769
18;923;22;7;2;22.06;0.112807
18;923;22;12;0;22.16;0.127714
18;923;22;12;2;22.17;0.12811
20;433;14;7;0;14.6;0.088239
20;433;14;7;2;14.45;0.078189
20;433;14;12;0;14.6;0.088361
20;433;14;12;2;14.58;0.08863
20;433;22;7;0;21.7;0.140225
20;433;22;7;2;21.6;0.123805
20;433;22;12;0;21.69;0.140251
20;433;22;12;2;21.69;0.140585
20;470;14;7;0;14.77;0.092962
20;470;14;7;2;14.7;0.082344
20;470;14;12;0;14.75;0.093061
20;470;14;12;2;14.75;0.093363
20;470;22;7;0;21.47;0.144147
20;470;22;7;2;21.29;0.127202
20;470;22;12;0;21.45;0.143972
20;470;22;12;2;21.46;0.144416
